Cell Line,CCLE Code,Tissue of Origin,Protein 10-Plex ID,Protein TMT Label,Notes
BICR22,BICR22_UPPER_AERODIGESTIVE_TRACT,Upper Aerodigestive Tract,14,130c
HCC1395,HCC1395_BREAST,Breast,15,126
SW1417,SW1417_LARGE_INTESTINE,Large Intestine,15,127n
NCI-H1435,NCIH1435_LUNG,Lung,15,127c
CNI-H1568,NCIH1568_LUNG,Lung,15,128n
NCI-H1944,NCIH1944_LUNG,Lung,15,128c
NCI-H441,NCIH441_LUNG,Lung,15,129n
KURAMOCHI,KURAMOCHI_OVARY,Ovary,15,129c
KATO III,KATOIII_STOMACH,Stomach,15,130n
U-BLC1,UBLC1_URINARY_TRACT,Urinary Tract,15,130c
AGS,AGS_STOMACH,Stomach,16,126
HCC1143,HCC1143_BREAST,Breast,16,127n
NCI-H1666,NCIH1666_LUNG,Lung,16,127c
NCI-H2291,NCIH2291_LUNG,Lung,16,128n
NCI-H747,NCIH747_LARGE_INTESTINE,Large Intestine,16,128c
NCI-H838,NCIH838_LUNG,Lung,16,129n
FU-OV-1,FUOV1_OVARY,Ovary,16,129c
RERF-LC-Sq1,RERFLCSQ1_LUNG,Lung,16,130n
DETROIT 562,DETROIT562_UPPER_AERODIGESTIVE_TRACT,Upper Aerodigestive Tract,16,130c
L3.3,L33_PANCREAS,Pancreas,17,126
MKN45,MKN45_STOMACH,Stomach,17,127n
MKN7,MKN7_STOMACH,Stomach,17,127c
NCI-H1793,NCIH1793_LUNG,Lung,17,128n
NCI-H2126,NCIH2126_LUNG,Lung,17,128c
NCI-H2228,NCIH2228_LUNG,Lung,17,129n
NCI-H661,NCIH661_LUNG,Lung,17,129c
SNU-C2A,SNUC2A_LARGE_INTESTINE,Large Intestine,17,130n
TE-6,TE6_OESOPHAGUS,Oesophagus,17,130c
HCC1937,HCC1937_BREAST,Breast,18,126
HCT-15,HCT15_LARGE_INTESTINE,Large Intestine,18,127n
KYSE-70,KYSE70_OESOPHAGUS,Oesophagus,18,127c
NCI-H1355,NCIH1355_LUNG,Lung,18,128n
NCI-H1437,NCIH1437_LUNG,Lung,18,128c
NCI-H2122,NCIH2122_LUNG,Lung,18,129n
TUHR4TKB,TUHR4TKB_KIDNEY,Kidney,18,129c
WM-793,WM793_SKIN,Skin,18,130n
NCI-H2030,NCIH2030_LUNG,Lung,18,130c
IGROV1,IGROV1_OVARY,Ovary,19,126
LCLC-103H,LCLC103H_LUNG,Lung,19,127n
LOX IMVI,LOXIMVI_SKIN,Skin,19,127c
MDA-MB-453,MDAMB453_BREAST,Breast,19,128n
NCI-H1703,NCIH1703_LUNG,Lung,19,128c
NCI-H196,NCIH196_LUNG,Lung,19,129n
NCI-H2009,NCIH2009_LUNG,Lung,19,129c
NCI-H2286,NCIH2286_LUNG,Lung,19,130n
SNU-C1,SNUC1_LARGE_INTESTINE,Large Intestine,19,130c
COLO205,COLO205_LARGE_INTESTINE,Large Intestine,20,126
COR-L47,CORL47_LUNG,Lung,20,127n
HCC1187,HCC1187_BREAST,Breast,20,127c
HuH-6,HUH6_LIVER,Liver,20,128n
NCI-H146,NCIH146_LUNG,Lung,20,128c
SNU-1,SNU1_STOMACH,Stomach,20,129n
NCI-H23,NCIH23_LUNG,Lung,20,129c
OS-RC-2,OSRC2_KIDNEY,Kidney,20,130n
SW948,SW948_LARGE_INTESTINE,Large Intestine,20,130c
COR-L88,CORL88_LUNG,Lung,21,126
HCC2218,HCC2218_BREAST,Breast,21,127n
HCC44,HCC44_LUNG,Lung,21,127c
HSC4,HSC4_UPPER_AERODIGESTIVE_TRACT,Upper Aerodigestive Tract,21,128n
NCI-H2172,NCIH2172_LUNG,Lung,21,128c
TCCSUP,TCCSUP_URINARY_TRACT,Urinary Tract,21,129n
TE11,TE11_OESOPHAGUS,Oesophagus,21,129c
UACC-62,UACC62_SKIN,Skin,21,130n
VCaP,VCAP_PROSTATE,Prostate,21,130c
EFM-19,EFM19_BREAST,Breast,22,126
HuG1-N,HUG1N_STOMACH,Stomach,22,127n
KYSE-510,KYSE510_OESOPHAGUS,Oesophagus,22,127c
LU65,LU65_LUNG,Lung,22,128n
NCI-H460,NCIH460_LUNG,Lung,22,128c
NCI-H522,NCIH522_LUNG,Lung,22,129n
PE/CA-PJ34 (clone C12),PECAPJ34CLONEC12_UPPER_AERODIGESTIVE_TRACT,Upper Aerodigestive Tract,22,129c
SK-MEL-30,SKMEL30_SKIN,Skin,22,130n
SW1990,SW1990_PANCREAS,Pancreas,22,130c
A-204,A204_SOFT_TISSUE,Soft Tissue,23,126
BxPC-3,BXPC3_PANCREAS,Pancreas,23,127n
Calu-1,CALU1_LUNG,Lung,23,127c
HEC-251,HEC251_ENDOMETRIUM,Endometrium,23,128n
HEL,HEL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,23,128c
KYSE-180,KYSE180_OESOPHAGUS,Oesophagus,23,129n
MONO-MAC-1,MONOMAC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,23,129c
SF-295,SF295_CENTRAL_NERVOUS_SYSTEM,Central Nervous System,23,130n
SK-MEL-5,SKMEL5_SKIN,Skin,23,130c
22Rv1,22RV1_PROSTATE,Prostate,24,126
A172,A172_CENTRAL_NERVOUS_SYSTEM,Central Nervous System,24,127n
BT-20,BT20_BREAST,Breast,24,127c
Calu-6,CALU6_LUNG,Lung,24,128n
FaDu,FADU_UPPER_AERODIGESTIVE_TRACT,Upper Aerodigestive Tract,24,128c
KP4,KP4_PANCREAS,Pancreas,24,129n
MONO-MAC-6,MONOMAC6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,24,129c
OVCAR-8,OVCAR8_OVARY,Ovary,24,130n
THP-1,THP1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,24,130c
769-P,769P_KIDNEY,Kidney,25,126
C32,C32_SKIN,Skin,25,127n
HEC-59,HEC59_ENDOMETRIUM,Endometrium,25,127c
K-562,K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,25,128n
NUGC-3,NUGC3_STOMACH,Stomach,25,128c
RD,RD_SOFT_TISSUE,Soft Tissue,25,129n
SEM,SEM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,25,129c
SHP-77,SHP77_LUNG,Lung,25,130n
TC-71,TC71_BONE,Bone,25,130c
G-402,G402_SOFT_TISSUE,Soft Tissue,26,126
U-118 MG,U118MG_CENTRAL_NERVOUS_SYSTEM,Central Nervous System,26,127n
KYSE-150,KYSE150_OESOPHAGUS,Oesophagus,26,127c
NCI-H1155,NCIH1155_LUNG,Lung,26,128n
NCI-N87,NCIN87_STOMACH,Stomach,26,128c
OPM-2,OPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,26,129n
PL45,PL45_PANCREAS,Pancreas,26,129c
SK-CO-1,SKCO1_LARGE_INTESTINE,Large Intestine,26,130n
SU-DHL-4,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,26,130c
A-673,A673_BONE,Bone,27,126
MDA-MB-231,MDAMB231_BREAST,Breast,27,127n
Hey-A8,HEYA8_OVARY,Ovary,27,127c
RH-41,RH41_SOFT_TISSUE,Soft Tissue,27,128n
KMS-12-BM,KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,27,128c
LN-229,LN229_CENTRAL_NERVOUS_SYSTEM,Central Nervous System,27,129n
LS 180,LS180_LARGE_INTESTINE,Large Intestine,27,129c
MOLM-13,MOLM13_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,27,130n
KARPAS-299,KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,27,130c
CAL-120,CAL120_BREAST,Breast,28,126
DU 145,DU145_PROSTATE,Prostate,28,127n
G-401,G401_SOFT_TISSUE,Soft Tissue,28,127c
IM95,IM95_STOMACH,Stomach,28,128n
JHUEM-2,JHUEM2_ENDOMETRIUM,Endometrium,28,128c
KARPAS-422,KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,28,129n
KASUMI-1,KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,28,129c
HCC-15,HCC15_LUNG,Lung,28,130n
U-87 MG,U87MG_CENTRAL_NERVOUS_SYSTEM,Central Nervous System,28,130c
AsPC-1,ASPC1_PANCREAS,Pancreas,29,126
SNU-719,SNU719_STOMACH,Stomach,29,127n
COR-L23,CORL23_LUNG,Lung,29,127c
F-36P,F36P_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,29,128n
HEC-50B,HEC50B_ENDOMETRIUM,Endometrium,29,128c
KNS-81,KNS81_CENTRAL_NERVOUS_SYSTEM,Central Nervous System,29,129n
OCI-AML5,OCIAML5_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,29,129c
TE-10,TE10_OESOPHAGUS,Oesophagus,29,130n
WM-115,WM115_SKIN,Skin,29,130c
697,697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,30,126
8305C,8305C_THYROID,Thyroid,30,127n
HCT-15,HCT15_LARGE_INTESTINE,Large Intestine,30,127c
IGR-1,IGR1_SKIN,Skin,30,128n
SUIT-2,SUIT2_PANCREAS,Pancreas,30,128c
LN-18,LN18_CENTRAL_NERVOUS_SYSTEM,Central Nervous System,30,129n
LNCaP clone FGC,LNCAPCLONEFGC_PROSTATE,Prostate,30,129c
NCI-H650,NCIH650_LUNG,Lung,30,130n
Reh,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,30,130c
HEC-1-A,HEC1A_ENDOMETRIUM,Endometrium,31,126
HUP-T3,HUPT3_PANCREAS,Pancreas,31,127n
KMS-27,KMS27_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,31,127c
LXF-289,LXF289_LUNG,Lung,31,128n
CAL 27,CAL27_UPPER_AERODIGESTIVE_TRACT,Upper Aerodigestive Tract,31,128c
RMUG-S,RMUGS_OVARY,Ovary,31,129n
SNU-1105,SNU1105_CENTRAL_NERVOUS_SYSTEM,Central Nervous System,31,129c
CAL-33,CAL33_UPPER_AERODIGESTIVE_TRACT,Upper Aerodigestive Tract,31,130n
U-937,U937_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,31,130c
A-704,A704_KIDNEY,Kidney,32,126
WM-88,WM88_SKIN,Skin,32,127n
KMS-11,KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,32,127c
NALM-6,NALM6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,32,128n
NCI-H2052,NCIH2052_PLEURA,Pleura,32,128c
OV-90,OV90_OVARY,Ovary,32,129n
SK-ES-1,SKES1_BONE,Bone,32,129c
SNB-19,SNB19_CENTRAL_NERVOUS_SYSTEM,Central Nervous System,32,130n
MFE-280,MFE280_ENDOMETRIUM,Endometrium,32,130c
EOL-1,EOL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,33,126
SW 1573,SW1573_LUNG,Lung,33,127n
HEL 92.1.7,HEL9217_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,33,127c
K029AX,K029AX_SKIN,Skin,33,128n
JHOS-2,JHOS2_OVARY,Ovary,33,128c
SNU-685,SNU685_ENDOMETRIUM,Endometrium,33,129n
NIH:OVCAR-3,NIHOVCAR3_OVARY,Ovary,33,129c
Saos-2,SAOS2_BONE,Bone,33,130n
TE-4,TE4_OESOPHAGUS,Oesophagus,33,130c
JHH-1,JHH1_LIVER,Liver,34,126
SW 1271,SW1271_LUNG,Lung,34,127n
NCI-H226,NCIH226_LUNG,Lung,34,127c
REC-1,REC1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,34,128n
HT-1080,HT1080_SOFT_TISSUE,Soft Tissue,34,128c
KYSE-30,KYSE30_OESOPHAGUS,Oesophagus,34,129n
U-2 OS,U2OS_BONE,Bone,34,129c
GB-1,GB1_CENTRAL_NERVOUS_SYSTEM,Central Nervous System,34,130n
IA-LM,IALM_LUNG,Lung,34,130c
CMK,CMK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,Haematopoietic and Lymphoid Tissue,35,126
COLO 829,COLO829_SKIN,Skin,35,127n
