gene,included,exclusion_reason
ATP11C,True,
ATP12A,True,
ATP13A1,True,
ATP13A2,True,
ATP13A3,True,
ATP1A1,True,
ATP1A3,True,
ATP1A4,True,
ATP1B1,True,
ATP1B3,True,
ATP2A2,True,
ATP2A3,True,
ATP2B1,True,
ATP2C1,True,
ATP5F1A,True,
ATP5F1B,True,
ATP5F1C,True,
ATP5F1D,True,
ATP5F1E,True,
ATP5IF1,True,
ATP5MC2,True,
ATP5ME,True,
ATP5MF-PTCD1,True,
ATP5MG,True,
ATP5MJ,True,
ATP5MK,True,
ATP5PB,True,
ATP5PD,True,
ATP5PF,True,
ATP5PO,True,
ATP6,True,
ATP6AP1,True,
ATP6AP2,True,
ATP6V0A1,True,
ATP6V0A2,True,
ATP6V0C,True,
ATP6V0D1,True,
ATP6V1A,True,
ATP6V1B1,True,
ATP6V1B2,True,
ATP6V1C1,True,
ATP6V1D,True,
ATP6V1E1,True,
ATP6V1F,True,
ATP6V1G1,True,
ATP6V1H,True,
ATP7A,True,
ATP8A1,True,
ATP8B1,True,
ATP9A,True,
ATP9B,True,
ATPAF1,True,
ATPAF2,True,
ATR,True,
ATRIP,True,
ATRN,True,
ATRX,True,
ATXN1,True,
ATXN10,True,
ATXN1L,True,
ATXN2,True,
ATXN2L,True,
ATXN3,True,
ATXN7,True,
ATXN7L3B,True,
AUH,True,
AUP1,True,
AURKA,True,
AURKB,True,
AVEN,True,
AVL9,True,
AXIN1,True,
AXL,True,
AZGP1,True,
AZI2,True,
B2M,True,
B3GAT3,True,
B3GLCT,True,
B3GNT2,True,
B3GNT3,True,
B4GALT1,True,
B4GALT3,True,
B4GALT4,True,
B4GAT1,True,
BABAM1,True,
BABAM2,True,
BACC1,True,
BACH1,True,
BAD,True,
BAG1,True,
BAG2,True,
BAG3,True,
BAG4,True,
BAG5,True,
BAHD1,True,
BAIAP2,True,
BAIAP2L1,True,
BAK1,True,
BANF1,True,
BANP,True,
BAP1,True,
BARD1,True,
BASP1,True,
BAX,True,
BAZ1A,True,
BAZ1B,True,
BAZ2A,True,
BAZ2B,True,
BBC3,True,
BBX,True,
BCAM,True,
BCAP29,True,
BCAP31,True,
BCAR1,True,
BCAR3,True,
BCAS1,True,
BCAS2,True,
BCAS3,True,
BCAT1,True,
BCAT2,True,
BCCIP,True,
BCKDHA,True,
BCKDHB,True,
BCKDK,True,
BCL10,True,
BCL2L1,True,
BCL2L13,True,
BCL3,True,
BCL7A,True,
BCL7B,True,
BCL7C,True,
BCL9,True,
BCL9L,True,
BCLAF1,True,
BCLAF3,True,
BCOR,True,
BCORL1,True,
BCR,True,
BCS1L,True,
BDH1,True,
BDH2,True,
BECN1,True,
BEND3,True,
BET1L,True,
BICD1,True,
BICD2,True,
BICRA,True,
BICRAL,True,
BID,True,
BIN1,True,
BIN3,True,
BIRC2,True,
BIRC6,True,
BLM,True,
BLMH,True,
BLOC1S1,True,
BLOC1S2,True,
BLOC1S3,True,
BLOC1S4,True,
BLOC1S5,True,
BLTP2,True,
BLTP3A,True,
BLTP3B,True,
BLVRA,True,
BLVRB,True,
BLZF1,True,
BMP2K,True,
BMS1,True,
BNIP1,True,
BNIP2,True,
BNIP3,True,
BNIP3L,True,
BOD1,True,
BOD1L1,True,
BOLA1,True,
BOLA3,True,
BOP1,True,
BORCS5,True,
BORCS6,True,
BORCS7,True,
BORCS8,True,
BPGM,True,
BPHL,True,
BPNT1,True,
BPNT2,True,
BPTF,True,
BRAF,True,
BRAP,True,
BRAT1,True,
BRCA1,True,
BRCC3,True,
BRD1,True,
BRD2,True,
BRD3,True,
BRD4,True,
BRD7,True,
BRD8,True,
BRD9,True,
BRF1,True,
BRIX1,True,
BRK1,True,
BRMS1,True,
BRMS1L,True,
BROX,True,
BRPF1,True,
BRPF3,True,
BRWD1,True,
BSDC1,True,
BSG,True,
BSPRY,True,
BST2,True,
BTAF1,True,
BTBD2,True,
BTD,True,
BTF3,True,
BTF3L4,True,
BTK,True,
BTN2A1,True,
BTN3A3,True,
BTRC,True,
BUB1,True,
BUB1B,True,
BUB3,True,
BUD13,True,
BUD23,True,
BUD31,True,
BYSL,True,
BZW1,True,
BZW2,True,
C11orf54,True,
C11orf58,True,
C11orf68,True,
C12orf43,True,
C12orf57,True,
C12orf75,True,
C14orf119,True,
C15orf39,True,
C15orf40,True,
C15orf48,True,
C17orf75,True,
C18orf21,True,
C18orf32,True,
C19orf25,True,
C19orf47,True,
C19orf53,True,
C1D,True,
C1QBP,True,
C1orf116,True,
C1orf122,True,
C1orf131,True,
C1orf174,True,
C1orf198,True,
C1orf226,True,
C1orf35,True,
C1orf43,True,
C1orf50,True,
C1orf52,True,
C2CD2,True,
C2CD2L,True,
C2CD5,True,
C2orf49,True,
C2orf69,True,
C3,True,
C3orf38,True,
C4A,True,
C4orf3,True,
C5orf15,True,
C5orf22,True,
C5orf24,True,
C6orf132,True,
C6orf47,True,
C6orf89,True,
C7orf25,True,
C7orf50,True,
C8orf33,True,
C8orf82,True,
C9orf78,True,
CA1,True,
CA12,True,
CA13,True,
CA2,True,
CA5B,True,
CA8,True,
CAAP1,True,
CAB39,True,
CABIN1,True,
CABLES1,True,
CACNA2D1,True,
CACTIN,True,
CACUL1,True,
CACYBP,True,
CAD,True,
CADM1,True,
CADM4,True,
CADPS,True,
CALB2,True,
CALCOCO1,True,
CALCOCO2,True,
CALD1,True,
CALML3,True,
CALR,True,
CALU,True,
CAMK1,True,
CAMK1D,True,
CAMK2B,True,
CAMK2D,True,
CAMK2G,True,
CAMK4,True,
CAMKK2,True,
CAMKMT,True,
CAMLG,True,
CAMSAP1,True,
CAMSAP2,True,
CAMSAP3,True,
CAND1,True,
CAND2,True,
CANT1,True,
CANX,True,
CAP1,True,
CAP2,True,
CAPG,True,
CAPN1,True,
CAPN15,True,
CAPN2,True,
CAPN5,True,
CAPN7,True,
CAPNS1,True,
CAPRIN1,True,
CAPZA1,True,
CAPZA2,True,
CAPZB,True,
CARD10,True,
CARHSP1,True,
CARM1,True,
CARMIL1,True,
CARNMT1,True,
CARS1,True,
CARS2,True,
CASC3,True,
CASK,True,
